,Choice,Confidence
JACK,0,0.45353502
HGV,0,0.453519374
WSM,0,0.453494996
CSIQ,0,0.453329921
DLTR,0,0.453324854
MCHP,0,0.453250468
PPG,2,0.45290339
HES,2,0.452885449
IEX,1,0.452870578
0763.HK,2,0.452818334
1038.HK,0,0.452583998
CRTO,0,0.452491313
SSNC,0,0.452251077
MKSI,0,0.452190071
MOH,2,0.451971143
CVS,2,0.451940507
SBNY,1,0.451909691
SM,2,0.451829284
IQV,2,0.451557159
APD,0,0.451132476
XPO,2,0.450821251
USB,0,0.450566322
RPD,1,0.450510591
LIN,2,0.450132877
MITK,0,0.450095147
HUM,0,0.450092793
DCI,0,0.449773937
BILI,1,0.449621677
RSG,0,0.449247539
CMI,0,0.44906944
YELP,1,0.448994488
NUVA,2,0.448779404
HSIC,0,0.448543578
MKL,2,0.448479623
0017.HK,2,0.448163986
CCIV,0,0.448012292
XEC,2,0.447834849
MRVL,2,0.447628379
CTAS,1,0.447398067
AON,0,0.447355926
JNJ,2,0.447316706
AYI,2,0.447074682
BHVN,0,0.446229607
0968.HK,1,0.446163833
GRMN,2,0.446110517
AMZN,1,0.445868433
0489.HK,2,0.445437729
TPH,0,0.445414156
NUAN,0,0.444966197
TFC,2,0.444532096
0388.HK,2,0.44431591
SHW,2,0.443977416
NKLA,0,0.443593383
1359.HK,0,0.443275571
RIG,2,0.442969531
CFG,0,0.442790747
CROX,2,0.442735553
DRVN,2,0.442612678
WBA,0,0.442064553
ALDX,0,0.442027658
VMC,2,0.441836357
HRI,0,0.441577971
TTWO,0,0.441303343
0322.HK,1,0.440802217
CRL,0,0.440715283
XRX,1,0.440643698
ED,0,0.440613598
MET,2,0.440472931
CI,0,0.439658791
0006.HK,0,0.439386636
ORBC,2,0.43930012
ENR,1,0.43912226
POST,0,0.439048082
NLSN,0,0.438964397
DTE,0,0.438954622
LH,0,0.438016802
URBN,0,0.437347203
TRV,0,0.43727991
DFS,0,0.437176019
0016.HK,2,0.436921924
LBTYK,0,0.436790377
WLTW,0,0.436415732
EVA,0,0.436015338
1113.HK,0,0.435780704
CMS,2,0.435760617
TMX,1,0.435753733
PLAY,0,0.434935361
SFT,1,0.434874266
HUN,0,0.434143841
MAA,2,0.434107095
ANF,2,0.433725417
2386.HK,2,0.433224708
SIG,0,0.433220416
CRM,0,0.433044463
BAH,2,0.432822615
JEF,0,0.432652265
RPAY,1,0.432455838
AAP,0,0.432439566
AXP,0,0.432147384
INFO,0,0.431992292
ROKU,1,0.431853086
ALB,2,0.431791455
RAD,0,0.431645662
FBP,0,0.431434005
WHR,0,0.431213289
GNRC,1,0.43107444
NOC,2,0.4305363
NVS,0,0.430497497
SWK,0,0.430366606
SUI,0,0.430323392
TDS,0,0.43019411
TECH,0,0.430082858
CLDR,2,0.43003574
KNX,2,0.429919749
0941.HK,1,0.429889351
RGA,0,0.429443747
MTN,2,0.429152757
LEN,1,0.428987086
OMC,2,0.428524405
VNO,0,0.428465098
AMD,0,0.428367138
MDT,0,0.428362191
ACM,0,0.427676618
KO,0,0.426843792
LB,0,0.426000357
WRK,2,0.425934255
AYRO,1,0.425484627
IDA,2,0.425356209
QRTEA,0,0.425344944
FTCV,2,0.425335288
0883.HK,1,0.425314367
0390.HK,2,0.425067127
AA,2,0.424836576
CVA,0,0.424445391
PKI,0,0.424165905
WB,1,0.422801822
NVCR,2,0.422706157
GHC,2,0.422294408
EFX,2,0.42137602
TX,0,0.421083242
ZEPP,2,0.420920134
UPS,2,0.420770139
SCI,2,0.420172632
DENN,0,0.419236422
OCGN,1,0.419199765
EPD,0,0.418962806
GPI,1,0.418457061
BLNK,0,0.418381929
TXG,0,0.416629612
AVY,0,0.416579157
FLEX,0,0.416342556
AMT,0,0.416196048
YNDX,0,0.41585058
TOL,0,0.414838344
0669.HK,0,0.414321154
SO,2,0.414313555
LMT,2,0.414294243
AN,2,0.414243907
CNMD,2,0.413657844
0788.HK,2,0.413498789
AZO,0,0.412956566
THG,2,0.412545562
ECL,1,0.411483258
JKHY,1,0.410425574
FLWS,2,0.410377085
CNO,2,0.410279244
CMC,0,0.409159422
MMI,2,0.408987463
PAG,0,0.407726854
GEVO,1,0.407106191
FNF,2,0.406593591
SKT,2,0.405973911
PHM,0,0.405269325
EHTH,2,0.405225575
BURL,0,0.405213863
BLL,1,0.404847085
FB,2,0.404385716
1618.HK,1,0.403839499
ODFL,2,0.403736919
R,2,0.403482825
ACI,0,0.403376698
1088.HK,2,0.402576536
GEF,2,0.401988059
EA,0,0.401479036
0019.HK,0,0.401378781
AEP,0,0.401149571
DDD,0,0.400924593
LUNA,0,0.400771827
DK,0,0.400360584
6837.HK,0,0.400003731
CAR,0,0.399556547
V,1,0.39856407
CPRI,2,0.398476481
0902.HK,0,0.398238242
QSR,0,0.397592902
CTVA,1,0.397351742
HPE,0,0.39599973
NVRO,1,0.394997001
TREX,2,0.393766373
KRO,0,0.393716097
CIT,2,0.393346667
ABC,2,0.393300027
ATO,2,0.392245412
ARMK,1,0.389487386
SEAS,2,0.389188141
0002.HK,2,0.388890922
RXN,0,0.388452709
ATGE,0,0.387884021
CVAC,2,0.387354076
CE,0,0.387251288
ESNT,2,0.387015194
MOX,1,0.386871427
ZBH,0,0.386632025
0823.HK,2,0.386562705
SAVE,1,0.386265695
ALGN,2,0.385749519
1055.HK,0,0.384761244
CDW,0,0.384658933
UNP,1,0.384611458
PGR,0,0.383371234
AMC,1,0.382597029
RS,0,0.38137418
SBS,0,0.38123697
ILMN,0,0.381099671
HLT,2,0.380943596
EME,0,0.380090773
WSO,0,0.380079299
FDS,2,0.378416151
AEO,1,0.378239512
PANW,0,0.378047496
WYNN,1,0.377565563
XXII,2,0.377015144
D,2,0.376636505
BAX,2,0.376318783
JBHT,2,0.375748515
RE,0,0.37561956
HBAN,1,0.375424415
ARGO,2,0.37002179
W,2,0.369464278
BC,2,0.365223199
MAT,2,0.364099562
VRDN,2,0.363950253
LEVI,2,0.363757968
SBH,2,0.363484561
FIS,1,0.362383395
BIIB,1,0.3619017
LSTR,2,0.361826092
HTA,2,0.361585468
WU,0,0.361125022
URI,2,0.359472156
PWR,1,0.355694681
LMND,2,0.355270237
EHC,0,0.350898862
LEG,2,0.346905977
CCI,0,0.346515864
ESTC,1,0.345147908
